"country","pop2020"
"China","1439323.7760"
"India","1380004.3850"
"United States","331002.6510"
"Indonesia","273523.6150"
"Pakistan","220892.3400"
"Brazil","212559.4170"
"Nigeria","206139.5890"
"Bangladesh","164689.3830"
"Russia","145934.4620"
"Mexico","128932.7530"
"Japan","126476.4610"
"Ethiopia","114963.5880"
"Philippines","109581.0780"
"Egypt","102334.4040"
"Vietnam","97338.5790"
"DR Congo","89561.4030"
"Turkey","84339.0670"
"Iran","83992.9490"
"Germany","83783.9420"
"Thailand","69799.9780"
"United Kingdom","67886.0110"
"France","65273.5110"
"Italy","60461.8260"
"Tanzania","59734.2180"
"South Africa","59308.6900"
"Myanmar","54409.8000"
"Kenya","53771.2960"
"South Korea","51269.1850"
"Colombia","50882.8910"
"Spain","46754.7780"
"Uganda","45741.0070"
"Argentina","45195.7740"
"Algeria","43851.0440"
"Sudan","43849.2600"
"Ukraine","43733.7620"
"Iraq","40222.4930"
"Afghanistan","38928.3460"
"Poland","37846.6110"
"Canada","37742.1540"
"Morocco","36910.5600"
"Saudi Arabia","34813.8710"
"Uzbekistan","33469.2030"
"Peru","32971.8540"
"Angola","32866.2720"
"Malaysia","32365.9990"
"Mozambique","31255.4350"
"Ghana","31072.9400"
"Yemen","29825.9640"
"Nepal","29136.8080"
"Venezuela","28435.9400"
"Madagascar","27691.0180"
"Cameroon","26545.8630"
"Ivory Coast","26378.2740"
"North Korea","25778.8160"
"Australia","25499.8840"
"Niger","24206.6440"
"Taiwan","23816.7750"
"Sri Lanka","21413.2490"
"Burkina Faso","20903.2730"
"Mali","20250.8330"
"Romania","19237.6910"
"Malawi","19129.9520"
"Chile","19116.2010"
"Kazakhstan","18776.7070"
"Zambia","18383.9550"
"Guatemala","17915.5680"
"Ecuador","17643.0540"
"Syria","17500.6580"
"Netherlands","17134.8720"
"Senegal","16743.9270"
"Cambodia","16718.9650"
"Chad","16425.8640"
"Somalia","15893.2220"
"Zimbabwe","14862.9240"
"Guinea","13132.7950"
"Rwanda","12952.2180"
"Benin","12123.2000"
"Burundi","11890.7840"
"Tunisia","11818.6190"
"Bolivia","11673.0210"
"Belgium","11589.6230"
"Haiti","11402.5280"
"Cuba","11326.6160"
"South Sudan","11193.7250"
"Dominican Republic","10847.9100"
"Czech Republic","10708.9810"
"Greece","10423.0540"
"Jordan","10203.1340"
"Portugal","10196.7090"
"Azerbaijan","10139.1770"
"Sweden","10099.2650"
"Honduras","9904.6070"
"United Arab Emirates","9890.4020"
"Hungary","9660.3510"
"Tajikistan","9537.6450"
"Belarus","9449.3230"
"Austria","9006.3980"
"Papua New Guinea","8947.0240"
"Serbia","8737.3710"
"Israel","8655.5350"
"Switzerland","8654.6220"
"Togo","8278.7240"
"Sierra Leone","7976.9830"
"Hong Kong","7496.9810"
"Laos","7275.5600"
"Paraguay","7132.5380"
"Bulgaria","6948.4450"
"Libya","6871.2920"
"Lebanon","6825.4450"
"Nicaragua","6624.5540"
"Kyrgyzstan","6524.1950"
"El Salvador","6486.2050"
"Turkmenistan","6031.2000"
"Singapore","5850.3420"
"Denmark","5792.2020"
"Finland","5540.7200"
"Republic of the Congo","5518.0870"
"Slovakia","5459.6420"
"Norway","5421.2410"
"Oman","5106.6260"
"Palestine","5101.4140"
"Costa Rica","5094.1180"
"Liberia","5057.6810"
"Ireland","4937.7860"
"Central African Republic","4829.7670"
"New Zealand","4822.2330"
"Mauritania","4649.6580"
"Panama","4314.7670"
"Kuwait","4270.5710"
"Croatia","4105.2670"
"Moldova","4033.9630"
"Georgia","3989.1670"
"Eritrea","3546.4210"
"Uruguay","3473.7300"
"Bosnia and Herzegovina","3280.8190"
"Mongolia","3278.2900"
"Armenia","2963.2430"
"Jamaica","2961.1670"
"Qatar","2881.0530"
"Albania","2877.7970"
"Puerto Rico","2860.8530"
"Lithuania","2722.2890"
"Namibia","2540.9050"
"Gambia","2416.6680"
"Botswana","2351.6270"
"Gabon","2225.7340"
"Lesotho","2142.2490"
"Macedonia","2083.3740"
"Slovenia","2078.9380"
"Guinea-Bissau","1968.0010"
"Latvia","1886.1980"
"Bahrain","1701.5750"
"Equatorial Guinea","1402.9850"
"Trinidad and Tobago","1399.4880"
"Estonia","1326.5350"
"Timor-Leste","1318.4450"
"Mauritius","1271.7680"
"Cyprus","1207.3590"
"Swaziland","1160.1640"
"Djibouti","988"
"Fiji","896.4450"
"Reunion","895.3120"
"Comoros","869.6010"
"Guyana","786.5520"
"Bhutan","771.6080"
"Solomon Islands","686.8840"
"Macau","649.3350"
"Montenegro","628.0660"
"Luxembourg","625.9780"
"Western Sahara","597.3390"
"Suriname","586.6320"
"Cape Verde","555.9870"
"Maldives","540.5440"
"Malta","441.5430"
"Brunei","437.4790"
"Guadeloupe","400.1240"
"Belize","397.6280"
"Bahamas","393.2440"
"Martinique","375.2650"
"Iceland","341.2430"
"Vanuatu","307.1450"
"French Guiana","298.6820"
"Barbados","287.3750"
"New Caledonia","285.4980"
"French Polynesia","280.9080"
"Mayotte","272.8150"
"Sao Tome and Principe","219.1590"
"Samoa","198.4140"
"Saint Lucia","183.6270"
"Guam","168.7750"
"Curacao","164.0930"
"Kiribati","119.4490"
"Micronesia","115.0230"
"Grenada","112.5230"
"Saint Vincent and the Grenadines","110.9400"
"Aruba","106.7660"
"Tonga","105.6950"
"United States Virgin Islands","104.4250"
"Seychelles","98.3470"
"Antigua and Barbuda","97.9290"
"Isle of Man","85.0330"
"Andorra","77.2650"
"Dominica","71.9860"
"Cayman Islands","65.7220"
"Bermuda","62.2780"
"Marshall Islands","59.1900"
"Northern Mariana Islands","57.5590"
"Greenland","56.7700"
"American Samoa","55.1910"
"Saint Kitts and Nevis","53.1990"
"Faroe Islands","48.8630"
"Sint Maarten","42.8760"
"Monaco","39.2420"
"Turks and Caicos Islands","38.7170"
"Saint Martin","38.6660"
"Liechtenstein","38.1280"
"San Marino","33.9310"
"Gibraltar","33.6910"
"British Virgin Islands","30.2310"
"Palau","18.0940"
"Cook Islands","17.5640"
"Anguilla","15.0030"
"Tuvalu","11.7920"
"Wallis and Futuna","11.2390"
"Nauru","10.8240"
"Saint Barthélemy","9.8770"
"Saint Pierre and Miquelon","5.7940"
"Montserrat","4.9920"
"Falkland Islands","3.4800"
"Niue","1.6260"
"Tokelau","1.3570"
"Vatican City","0.8010"
